h3_index,상권업종대분류명,store_count
8930e0363d7ffff,수리·개인,23
8930e0363d7ffff,시설관리·임대,3
8930e0363d7ffff,예술·스포츠,4
8930e0363d7ffff,음식,17
8930e0363dbffff,과학·기술,3
8930e0363dbffff,교육,5
8930e0363dbffff,부동산,4
8930e0363dbffff,소매,14
8930e0363dbffff,수리·개인,13
8930e0363dbffff,시설관리·임대,4
8930e0363dbffff,예술·스포츠,2
8930e0363dbffff,음식,18
8930e036407ffff,과학·기술,150
8930e036407ffff,교육,8
8930e036407ffff,부동산,13
8930e036407ffff,소매,17
8930e036407ffff,수리·개인,7
8930e036407ffff,숙박,2
8930e036407ffff,시설관리·임대,16
8930e036407ffff,예술·스포츠,3
8930e036407ffff,음식,23
8930e03640fffff,과학·기술,3
8930e03640fffff,부동산,4
8930e03640fffff,소매,3
8930e03640fffff,수리·개인,1
8930e03640fffff,시설관리·임대,2
8930e03640fffff,예술·스포츠,2
8930e03640fffff,음식,1
8930e036417ffff,과학·기술,25
8930e036417ffff,교육,4
8930e036417ffff,부동산,1
8930e036417ffff,소매,5
8930e036417ffff,시설관리·임대,5
8930e036417ffff,음식,4
8930e036423ffff,과학·기술,54
8930e036423ffff,교육,2
8930e036423ffff,부동산,11
8930e036423ffff,소매,21
8930e036423ffff,수리·개인,16
8930e036423ffff,숙박,2
8930e036423ffff,시설관리·임대,8
8930e036423ffff,예술·스포츠,6
8930e036423ffff,음식,12
8930e036427ffff,과학·기술,97
8930e036427ffff,교육,5
8930e036427ffff,보건의료,3
8930e036427ffff,부동산,3
8930e036427ffff,소매,41
8930e036427ffff,수리·개인,17
8930e036427ffff,숙박,2
8930e036427ffff,시설관리·임대,11
8930e036427ffff,예술·스포츠,4
8930e036427ffff,음식,31
8930e03642bffff,과학·기술,70
8930e03642bffff,교육,8
8930e03642bffff,보건의료,1
8930e03642bffff,부동산,4
8930e03642bffff,소매,13
8930e03642bffff,수리·개인,9
8930e03642bffff,숙박,1
8930e03642bffff,시설관리·임대,17
8930e03642bffff,예술·스포츠,4
8930e03642bffff,음식,4
8930e03642fffff,과학·기술,8
8930e03642fffff,교육,2
8930e03642fffff,부동산,1
8930e03642fffff,소매,10
8930e03642fffff,수리·개인,13
8930e03642fffff,예술·스포츠,1
8930e03642fffff,음식,3
8930e036433ffff,과학·기술,167
8930e036433ffff,교육,10
8930e036433ffff,부동산,9
8930e036433ffff,소매,27
8930e036433ffff,수리·개인,2
8930e036433ffff,시설관리·임대,42
